-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
0.00888	5183	0	0	9	356	68	257	421	512	537	509	433	539	372	200	177	516	277
0.01799	491	0	2	2	2	0	19	34	14	42	32	9	18	42	22	35	208	10
0.00325	1665	0	2	12	1	18	529	87	145	76	36	240	77	90	35	90	84	143
0.01094	29970	0	0	25	214	97	281	153	311	1012	995	465	1145	2407	3977	7663	7870	3355
0.02388	659	0	0	3	29	8	35	21	26	80	36	98	60	89	36	24	52	62
0.00758	19572	270	339	600	1485	1608	2870	3140	3371	3977	604	200	217	73	95	88	184	451
0.00521	1629	18	82	38	270	59	171	143	110	126	211	80	51	33	45	37	67	88
0.01047	2031	0	0	8	74	19	20	37	157	196	57	74	252	102	108	153	598	176
0.0004	2934	0	0	5	50	17	22	16	72	296	308	157	118	178	184	126	734	651
0.01236	855	5	0	6	35	13	37	59	41	66	107	210	51	22	29	25	66	83
0.0054	4898	0	8	6	101	548	257	250	196	373	114	188	327	466	140	460	644	820
0.00547	5686	3	5	4	43	63	245	200	160	536	221	1872	647	336	162	430	275	484
0.00901	8863	3	0	7	0	29	56	88	602	1436	1128	763	1503	1029	792	382	524	521
0.00537	15459	0	0	3	607	36	102	121	451	916	625	507	1371	2356	1859	834	3326	2345
0.02054	5961	69	0	27	96	41	280	381	957	1259	453	501	292	275	234	78	389	629
0.00753	2574	0	11	1	10	7	203	342	235	265	61	79	329	285	174	100	298	174
0.02862	1089	0	1	4	52	62	86	172	85	250	60	51	59	41	36	23	81	26
0.0085	6660	1	28	385	953	436	664	260	491	255	156	221	291	550	389	709	462	409
0.00523	10220	2	27	357	3089	415	1064	1503	407	915	149	204	229	382	140	243	334	760
0.00987	9994	243	2	7	89	220	1032	1144	810	1052	791	1567	679	484	424	390	551	509
0.01196	11279	5	3	838	482	484	547	1169	1378	1397	1099	512	879	559	609	219	775	324
0.00313	2393	2	3	0	59	31	27	34	608	292	100	148	224	271	163	184	70	177
0.01454	1814	0	0	3	450	35	45	101	232	234	30	50	83	56	31	126	195	143
0.0228	2423	2	0	4	8	8	8	21	19	94	46	48	55	48	101	54	654	1253
0.02183	743	0	1	1	18	13	23	55	30	115	36	29	58	22	140	26	110	66
0.00616	3671	0	0	19	236	95	166	243	627	319	175	76	120	309	119	323	259	585
0.00683	6177	2	4	12	51	228	94	1646	488	159	44	211	345	533	615	455	800	490
0.00702	3635	138	0	9	157	206	206	207	168	371	171	82	439	118	76	41	510	736
0.03438	226	0	3	0	3	5	4	12	7	21	24	9	30	18	11	17	42	20
0.00098	1250	0	3	0	13	1	16	41	23	132	85	20	151	37	95	20	418	195
0.00395	2877	0	0	9	552	63	162	446	112	140	95	86	114	131	108	227	250	382
0.00883	9870	0	3	11	698	34	6	330	111	315	2003	444	829	694	459	871	1817	1245
0.01023	12371	62	4	10	25	57	89	1158	1412	2471	1787	1316	1080	535	621	662	647	435
0.01485	7708	5	7	7	52	34	163	474	711	1175	822	579	1049	867	427	269	461	606
0.01114	6330	0	0	11	434	27	297	21	233	77	123	150	906	474	595	902	783	1297
0.00603	3155	4	0	18	7	145	49	29	45	47	33	27	17	31	20	261	2025	397
0.01411	1133	4	8	17	80	31	104	127	147	133	38	54	91	42	39	37	130	51
0.00959	6346	7	0	32	476	31	276	391	974	484	1083	647	203	166	220	472	482	402
0.02441	3355	0	4	1	22	39	540	162	668	548	40	65	89	273	128	116	264	396
0.00418	5012	1	0	16	123	383	400	970	427	339	153	58	1026	126	109	194	174	513
0.00963	14846	20	15	0	232	125	311	866	1661	4310	1916	1522	684	394	230	314	826	1420
0.00395	5292	0	0	0	310	83	213	82	177	148	191	129	83	187	109	31	205	3344
0.00304	1701	78	46	2	61	45	58	300	34	118	74	74	66	68	60	36	159	422
